objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Vast: The Crystal Caverns","170416","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198514","6.80281","7.20765","3.5723","570","11229","thing","Vast: The Crystal Caverns","1","5","75","75","75","2016","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Vegas Showdown","15364","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198468","6.84141","7.18045","2.3563","529","7149","thing","Vegas Showdown","3","5","75","75","75","2005","3,4,5","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vikings","27173","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198328","6.96268","7.25165","2.5401","415","7545","thing","Vikings","2","4","60","60","60","2007","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Village","104006","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197988","7.36733","7.53303","3.0714","146","25396","thing","Village","2","4","90","90","60","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Villagers","241724","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198603","6.74579","7.40686","2.2442","642","7280","thing","Villagers","1","5","60","60","30","2019","1,2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Vindication","224783","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198146","7.15247","7.88958","3.0483","264","6724","thing","Vindication","2","5","150","150","45","2018","2,3,4,5","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vinhos","42052","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198314","6.97482","7.49184","4.2081","403","4558","thing","Vinhos","2","4","135","135","60","2010","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Vinhos Deluxe Edition","175640","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197951","7.43287","8.2255","4.0575","116","7162","thing","Vinhos Deluxe Edition","1","4","135","135","60","2016","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Virgin Queen","41066","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198589","6.76298","8.05317","4.4031","628","2963","thing","Virgin Queen","2","6","420","420","420","2012","4,5,6","6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture","128621","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198035","7.30216","7.60318","2.933","176","8580","thing","Viticulture","2","6","90","90","90","2013","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture Essential Edition","183394","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197836","7.91455","8.09624","2.9117","21","34924","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5,6","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Voyages of Marco Polo","171623","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197866","7.69851","7.90001","3.1922","46","21398","thing","The Voyages of Marco Polo","2","4","100","100","40","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wallenstein","3307","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198436","6.86821","7.47701","3.31","505","2808","thing","Wallenstein","3","5","150","150","150","2002","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"War Chest","249259","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198239","7.04679","7.95082","2.2647","338","4652","thing","War Chest","2","4","30","30","30","2018","2,4","2,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"War of the Ring","9609","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197952","7.43151","7.7706","3.8454","117","12567","thing","War of the Ring","2","4","120","120","120","2004","2,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"War of the Ring: Second Edition","115746","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197824","8.08243","8.46815","4.1175","12","20325","thing","War of the Ring: Second Edition","2","4","180","180","150","2012","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer Quest: The Adventure Card Game","181521","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198443","6.86391","7.3872","2.7216","511","9446","thing","Warhammer Quest: The Adventure Card Game","1","4","60","60","30","2015","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer Underworlds: Shadespire","224597","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198558","6.78234","7.82914","2.4528","601","4163","thing","Warhammer Underworlds: Shadespire","2","2","30","30","30","2017","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer: Invasion","47185","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198532","6.79621","7.22475","2.7318","581","7473","thing","Warhammer: Invasion","2","2","45","45","45","2009","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Washington's War","38996","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198519","6.79906","7.63741","2.8427","573","4391","thing","Washington's War","2","2","90","90","90","2010","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Watergate","274364","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198200","7.09561","8.06072","2.3143","306","5276","thing","Watergate","2","2","60","60","30","2019","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wavelength","262543","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198611","6.73991","7.60883","1.1","650","4547","thing","Wavelength","2","12","45","45","30","2019","2,4,5,6,7,8,9,10,11,12","6,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Web of Power","491","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198643","6.72138","7.30378","2.448","675","3165","thing","Web of Power","3","5","60","60","50","2000","3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Welcome To...","233867","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197957","7.41509","7.63911","1.8303","122","23207","thing","Welcome To...","1","100","25","25","25","2018","1,2,3,4,5,6,7,8,9,10,11,12","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Western Legends","232405","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198143","7.15496","7.67718","2.7535","262","9287","thing","Western Legends","2","6","90","90","60","2018","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Whitehall Mystery","190082","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198654","6.7133","7.61949","2.1714","684","4272","thing","Whitehall Mystery","2","4","60","60","45","2017","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan","266192","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197835","7.92556","8.10897","2.3878","20","46820","thing","Wingspan","1","5","70","70","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wir sind das Volk!","165401","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198526","6.79803","7.84976","3.6818","577","3447","thing","Wir sind das Volk!","2","2","150","150","60","2014","2","2","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wits & Wagers","20100","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198559","6.78212","6.94156","1.2178","602","17969","thing","Wits & Wagers","3","7","25","25","25","2005","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"World Without End","43528","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198508","6.80742","7.26576","2.8153","565","6813","thing","World Without End","2","4","120","120","90","2009","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"XCOM: The Board Game","163602","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198579","6.76773","7.06679","2.9075","620","11975","thing","XCOM: The Board Game","1","4","120","120","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Xia: Legends of a Drift System","82222","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197989","7.36474","7.85841","3.1616","148","11044","thing","Xia: Legends of a Drift System","3","5","180","180","60","2014","3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Yamataï","213893","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198478","6.83088","7.241","2.9078","538","7854","thing","Yamataï","2","4","80","80","40","2017","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Yedo","117915","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198554","6.78254","7.39515","3.3553","599","4337","thing","Yedo","2","5","180","180","120","2012","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"YINSH","7854","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198044","7.29308","7.68962","2.7086","182","8953","thing","YINSH","2","2","60","60","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Yokohama","196340","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197929","7.48772","7.86531","3.2846","98","11318","thing","Yokohama","2","4","90","90","90","2016","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Yspahan","22345","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198494","6.82153","7.08933","2.3643","552","7413","thing","Yspahan","2","4","60","60","45","2006","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ZÈRTZ","528","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198580","6.76661","7.29805","2.7256","621","5435","thing","ZÈRTZ","2","2","60","60","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
